run_tag,type,fedcsap_bottom_q,dirichlet_alpha,attack_method,mal_pcnt,aggregation_method,note
run_001,cifar,0.1,0.9,targeted_label_flip,0.3,fedcsap,
run_002,cifar,0.2,0.9,targeted_label_flip,0.3,fedcsap,
run_003,cifar,0.3,0.9,targeted_label_flip,0.3,fedcsap,
run_004,cifar,0.4,0.9,targeted_label_flip,0.3,fedcsap,
run_297,cifar,0.1,0.9,sf,0.3,fedcsap,
run_298,cifar,0.2,0.9,sf,0.3,fedcsap,
run_299,cifar,0.3,0.9,sf,0.3,fedcsap,
run_300,cifar,0.4,0.9,sf,0.3,fedcsap,
run_301,cifar,0.1,0.9,inner_product_manipulation,0.3,fedcsap,
run_302,cifar,0.2,0.9,inner_product_manipulation,0.3,fedcsap,
run_303,cifar,0.3,0.9,inner_product_manipulation,0.3,fedcsap,
run_304,cifar,0.4,0.9,inner_product_manipulation,0.3,fedcsap,
run_305,cifar,0.1,0.9,dba,0.3,fedcsap,
run_306,cifar,0.2,0.9,dba,0.3,fedcsap,
run_307,cifar,0.3,0.9,dba,0.3,fedcsap,
run_308,cifar,0.4,0.9,dba,0.3,fedcsap,
